date,close,high,low,open,status,volume
2021-05-17 09:45:00,126.345,126.57,126.24,126.29,ok,1149791
2021-05-17 09:50:00,126.16,126.56,126.14,126.345,ok,1225298
2021-05-17 09:55:00,126.035,126.24,126.03,126.16,ok,1039503
2021-05-17 10:00:00,125.67,126.04,125.625,126.04,ok,1847229
2021-05-17 10:05:00,125.62,125.92,125.54,125.675,ok,1114892
2021-05-17 10:10:00,125.69,125.885,125.56,125.63,ok,1055432
2021-05-17 10:15:00,126.02,126.095,125.46,125.69,ok,1543565
2021-05-17 10:20:00,126.17,126.22,125.96,126.01,ok,933182
2021-05-17 10:25:00,125.9,126.255,125.88,126.16,ok,921086
2021-05-17 10:30:00,125.79,126.02,125.71,125.9,ok,898835
2021-05-17 10:35:00,126.27,126.38,125.78,125.79,ok,1014540
2021-05-17 10:40:00,126.13,126.41,126.08,126.26,ok,798183
2021-05-17 10:45:00,126.06,126.23,125.93,126.14,ok,800099
2021-05-17 10:50:00,126.0,126.16,125.89,126.06,ok,791245
2021-05-17 10:55:00,125.99,126.19,125.86,125.99,ok,787503
2021-05-17 11:00:00,125.92,126.1,125.79,125.98,ok,702092
2021-05-17 11:05:00,125.86,126.09,125.78,125.91,ok,688376
2021-05-17 11:10:00,125.87,125.95,125.64,125.85,ok,919732
2021-05-17 11:15:00,125.87,126.035,125.77,125.86,ok,646984
2021-05-17 11:20:00,126.03,126.13,125.865,125.87,ok,480747
2021-05-17 11:25:00,125.89,126.08,125.85,126.04,ok,456056
2021-05-17 11:30:00,125.83,125.93,125.73,125.89,ok,592342
2021-05-17 11:35:00,125.76,125.87,125.74,125.83,ok,476888
2021-05-17 11:40:00,125.85,125.9,125.7,125.76,ok,540147
2021-05-17 11:45:00,125.8,125.98,125.73,125.84,ok,498025
2021-05-17 11:50:00,125.71,125.86,125.61,125.79,ok,640099
2021-05-17 11:55:00,125.7,125.8,125.62,125.71,ok,487044
2021-05-17 12:00:00,125.615,125.77,125.6,125.69,ok,603914
2021-05-17 12:05:00,125.59,125.72,125.53,125.61,ok,659981
2021-05-17 12:10:00,125.54,125.66,125.54,125.58,ok,701448
